Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Image,Longitude,Lattitude,Region,Sub-Region,Territory,Info,Name en,Name fr,Name es,Name he,Name ar,Date estab,Hectare,CMS ID,Area A,Area B,Area C
Eli,eli,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d8f1c7e0ad93bc5da0,false,false,Mon Jul 14 2025 22:34:00 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.26734,32.07243,nablus,,West Bank,,,Eli,Eli,עלי,عيلي,1984,73,687585d8f1c7e0ad93bc5da0,false,false,true
Elkana,elkana,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585e0a591f947ef7c559e,false,false,Mon Jul 14 2025 22:34:08 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.035,32.11195,salfit,,West Bank,,,Elkana,Elkana,אלקנה,الكانا,1977,90,687585e0a591f947ef7c559e,false,false,true
Elon Moreh,elon-moreh,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dce9bb616df82fc197,false,false,Mon Jul 14 2025 22:34:04 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33421,32.23352,nablus,,West Bank,,,Elon Moreh,Elon Moreh,אלון מורה,آلون موريه,1979,59,687585dce9bb616df82fc197,false,false,true
Esh Kodesh,esh-kodesh,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d2a4ed871ddefbf858,false,false,Mon Jul 14 2025 22:33:54 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33398,32.06428,nablus,,West Bank,,,Esh Kodesh,Esh Kodesh,אש קודש,إيش كودش,2000,27,687585d2a4ed871ddefbf858,false,false,true
Eshkolot,eshkolot,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d892ea4d2e4d24cdf9,false,false,Mon Jul 14 2025 22:34:00 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.90512,31.39105,hebron,,West Bank,,,Eshkolot,Eshkolot,אשכולות,إشكولوت,1982,9,687585d892ea4d2e4d24cdf9,false,false,true
Etz Efrayim,etz-efrayim,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585db6b3523723690f2af,false,false,Mon Jul 14 2025 22:34:03 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.04649,32.11944,salfit,,West Bank,,,Etz Efrayim,Etz Efrayim,עץ אפרים,عيتس إفرايم,1985,17,687585db6b3523723690f2af,false,false,true
French Hill (Giv'at Shapira),french-hill-givat-shapira,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585ce2bc249f1442adf67,false,false,Mon Jul 14 2025 22:33:50 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:56:01 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:58:10 GMT+0000 (Coordinated Universal Time),,35.23862,31.80362,east-jerusalem,,West Bank,,,Hagiva Hatsarfatit (Giv'at Shapira),Colina Francesa (Givat Shapira),הגבעה הצרפתית (גבעת שפירא),التلة الفرنسية,1970,58,687585ce2bc249f1442adf67,false,false,false
Gadid,gadid,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d07191504697b16a03,false,false,Mon Jul 14 2025 22:33:52 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.27589,31.34393,khan-younis,,Gaza,,,Gadid,Gadid,גדיד,جديد,1982,19,687585d07191504697b16a03,false,false,false
Gal Outpost,gal-outpost,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d13599ddc67820922f,false,false,Mon Jul 14 2025 22:33:53 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.12685,31.52364,hebron,,West Bank,,,Avant-poste Gal,Puesto de Asentamiento de Gal,מאחז גל,مأحاز جال,2002,13,687585d13599ddc67820922f,false,false,true
Gan Or,gan-or,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d0168d3d18e56765d5,false,false,Mon Jul 14 2025 22:33:52 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.25841,31.33691,khan-younis,,Gaza,,,Gan Or,Gan Or,גן אור,جان أور,1983,16,687585d0168d3d18e56765d5,false,false,false
